,osmid,y,x,highway,street_count,row,column,land_price,pop,private_cs,I1_max,upper_bound
557,5828713075,21.0157019,105.8166066,,3,None,None,82.267333,180.859,0.0,48,0.00583463669595318
558,6689225964,21.0145944,105.8210635,,3,None,None,82.267333,447.884,0.0,50,0.006077746558284563
559,2291014178,21.0124305,105.8176724,,3,None,None,82.267333,446.843,0.0,39,0.004740642315461959
560,1904449332,21.0105284,105.8193044,,3,None,None,82.267333,234.45,0.0,29,0.003525093003805046
561,1904449333,21.0104184,105.8194013,,3,None,None,82.267333,234.45,0.0,28,0.0034035380726393557
562,1495020922,21.0131287,105.8197568,,3,None,None,82.267333,438.423,0.0,34,0.004132867659633503
563,106111364,21.0124282,105.8206704,,3,None,None,82.267333,461.823,0.0,36,0.004375977521964885
564,1314209710,21.0119663,105.82105,,3,None,None,82.267333,229.133,0.0,52,0.006320856420615945
565,106111365,21.0120825,105.8211088,,3,None,None,82.267333,229.133,0.0,53,0.006442411351781637
566,6644672135,21.0115675,105.8214795,,3,None,None,82.267333,465.966,0.0,54,0.006563966282947328
567,1494035427,21.0067615,105.8231971,,3,None,None,82.267333,247.555,0.0,45,0.005469971902456107
568,6644672133,21.0098098,105.8233913,,3,None,None,82.267333,39.175,0.0,46,0.005591526833621798
569,6662241094,21.0130422,105.8182137,,3,None,None,82.267333,192.814,0.0,37,0.004497532453130577
570,6658429241,21.0069778,105.8294801,,3,None,None,82.267333,67.92,0.0,43,0.005226862040124724
571,1884765797,21.0073278,105.8287027,,3,None,None,82.267333,255.571,0.0,48,0.00583463669595318
572,1884767494,21.0076605,105.8279926,traffic_signals,3,None,None,82.267333,45.222,0.0,64,0.007779515594604241
573,81805393,21.0088234,105.82426,,3,None,None,82.267333,4.46,0.0,48,0.00583463669595318
574,11950483417,21.0090127,105.8241564,,3,None,None,82.267333,91.075,0.0,45,0.005469971902456107
575,11950483412,21.0089408,105.8243268,,3,None,None,82.267333,4.46,0.0,47,0.005713081764787489
576,5707263059,21.0180745,105.8368257,,3,None,None,74.986,439.353,0.0,21,0.0028005227642493263
577,10123194086,21.0184299,105.8369234,,1,None,None,51.017,223.198,0.0,21,0.004116274967167806
578,5709906176,21.0140529,105.8391,,3,None,None,74.986,215.552,0.0,31,0.004134105032939482
579,5709906194,21.0143317,105.8403519,,3,None,None,74.986,414.823,0.0,19,0.0025338063105112955
580,5709906196,21.0140577,105.8396693,,3,None,None,74.986,237.406,0.0,29,0.0038673885792014505
581,8277274679,21.0147909,105.8391199,,1,None,None,51.017,421.191,0.0,28,0.005488366622890409
582,2291049679,21.0098276,105.8303068,,3,None,None,74.986,229.6,0.0,56,0.007468060704664871
583,104839740,21.0110954,105.8307755,,3,None,None,74.986,59.753,0.0,61,0.008134851839009949
584,1904398545,21.0103229,105.8310199,,3,None,None,74.986,274.571,0.0,60,0.008001493612140932
585,104839741,21.0113157,105.831076,,3,None,None,74.986,71.63,0.0,57,0.007601418931533885
586,1904398563,21.0095462,105.8313437,,3,None,None,74.986,347.59,0.0,61,0.008134851839009949
587,319490598,21.008788,105.8316582,,3,None,None,74.986,278.674,0.0,62,0.008268210065878964
588,283137982,21.011869,105.8317114,,3,None,None,74.986,27.447,0.0,52,0.0069346277971888085
589,5710482881,21.0083554,105.8319822,,3,None,None,74.986,290.318,0.0,57,0.007601418931533885
590,283137352,21.0105372,105.8329664,,3,None,None,74.986,177.52,0.0,67,0.008935001200224042
591,319490620,21.0096613,105.8331474,,3,None,None,74.986,66.542,0.0,79,0.010535299922652229
592,5710482879,21.0079399,105.833274,,3,None,None,74.986,93.01,0.0,56,0.007468060704664871
593,7835264875,21.0125632,105.8326283,,3,None,None,74.986,425.032,0.0,58,0.007734777158402901
594,8000825510,21.0094711,105.83333,,4,None,None,138.863,66.542,0.0,75,0.005401006747657764
595,10130399629,21.0109727,105.8307524,,3,None,None,74.986,59.753,0.0,62,0.008268210065878964
596,12228968673,21.0107692,105.8308268,,3,None,None,74.986,103.292,0.0,61,0.008134851839009949
597,1904395858,21.0041204,105.8303312,,4,None,None,138.863,95.399,0.0,32,0.0023044295456673123
598,5674347102,21.0060273,105.8310576,,3,None,None,74.986,10.092,0.0,41,0.005467687301629637
599,5683792674,21.0061057,105.8313438,,3,None,None,74.986,10.092,0.0,42,0.005601045528498653
600,1758629824,21.0061473,105.8311916,,4,None,None,138.863,10.092,0.0,42,0.0030245637786883474
601,1884765802,21.0061784,105.8311035,,4,None,None,138.863,10.092,0.0,41,0.002952550355386244
602,5683792676,21.0062201,105.8312827,,4,None,None,138.863,10.092,0.0,42,0.0030245637786883474
603,1314209698,21.0063287,105.8311553,,4,None,None,138.863,10.092,0.0,44,0.0031685906252925545
604,98026475,21.0064882,105.8316381,,3,None,None,74.986,10.092,0.0,45,0.006001120209105699
605,6677338241,21.0065963,105.8315376,,3,None,None,74.986,10.092,0.0,47,0.00626783666284373
606,5485640496,21.0070219,105.8320781,,3,None,None,74.986,62.49,0.0,50,0.006667911343450777
607,5485640503,21.007164,105.8322742,,3,None,None,74.986,62.49,0.0,51,0.006801269570319793
608,1497970355,21.0075279,105.8327433,,3,None,None,74.986,93.01,0.0,53,0.007067986024057824
609,11014094287,21.0063522,105.8307843,,3,None,None,74.986,184.701,0.0,42,0.005601045528498653
610,11014094288,21.0064788,105.8308437,,3,None,None,74.986,10.092,0.0,43,0.0057344037553676685
611,12228968670,21.0107496,105.8306831,,3,None,None,74.986,103.292,0.0,62,0.008268210065878964
612,103062630,21.0259862,105.8380997,,3,None,None,70.758,190.33,0.0,36,0.005087763927753753
613,6658453755,21.0262385,105.8375869,,2,None,None,54.536667,190.33,0.0,41,0.007517877834375173
614,283127113,21.0200259,105.8377091,,3,None,None,70.758,150.815,0.0,22,0.0031091890669606268
615,1000087640,21.02013,105.8375214,,3,None,None,70.758,150.815,0.0,22,0.0031091890669606268
616,104777991,21.0211537,105.8350263,,3,None,None,70.758,425.306,0.0,22,0.0031091890669606268
617,5406185435,21.0213059,105.834126,,3,None,None,70.758,9.207,0.0,28,0.003957149721586253
618,317969015,21.0215521,105.8375347,,3,None,None,70.758,401.632,0.0,24,0.0033918426185025018
619,8344806932,21.022215,105.8368905,,3,None,None,70.758,366.491,0.0,21,0.002967862291189689
620,7799727241,21.0232408,105.8376116,,3,None,None,70.758,18.372,0.0,22,0.0031091890669606268
621,317968979,21.0242642,105.8395402,,3,None,None,103.068545,200.457,0.0,19,0.001843433416082472
622,5704011527,21.0250743,105.8398527,,3,None,None,103.068545,199.286,0.0,20,0.0019404562274552338
623,9602244141,21.024602,105.8392509,,1,None,None,68.775727,200.457,0.0,22,0.003198802973031459
624,13108917674,21.0250751,105.8397059,,1,None,None,68.775727,199.286,0.0,21,0.0030534028378936652
625,422619751,21.0264119,105.8398689,,3,None,None,103.068545,382.094,0.0,20,0.0019404562274552338
626,103066330,21.0267578,105.8385407,,3,None,None,103.068545,368.992,0.0,28,0.0027166387184373274
